City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Ituango,CO,75.45,scattered clouds,7.1712,-75.764,HOTEL LA CASONA ITUANGO
208,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
210,Rocha,UY,82.15,clear sky,-34.4833,-54.3333,Hotel Arrarte
214,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
226,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
227,Kutum,SD,72.32,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
231,Kismayo,SO,77.77,few clouds,-0.3582,42.5454,Agan-Hotel
232,Tocopilla,CL,71.33,clear sky,-22.092,-70.1979,Hotel Galvarino
235,Thinadhoo,MV,81.82,broken clouds,0.5333,72.9333,
237,Taoudenni,ML,77.81,few clouds,22.6783,-3.9836,
247,Takapau,NZ,70.45,light rain,-40.0333,176.35,
252,Port Keats,AU,80.44,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
257,Veraval,IN,73.2,clear sky,20.9,70.3667,Lords Inn Somnath
261,Sampit,ID,73.6,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
271,Chirongui,YT,76.93,light rain,-12.9319,45.1483,La Villa Mahatsara
274,Amalner,IN,73.02,scattered clouds,21.05,75.0667,Government Rest House
277,Itupiranga,BR,84.52,light rain,-5.1347,-49.3267,Hotel Panorama
278,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
282,Sur,OM,71.02,clear sky,22.5667,59.5289,Sur Plaza Hotel
284,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
286,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
288,Kalemie,CD,73.98,overcast clouds,-5.9475,29.1947,Mahobilali
291,Berekua,DM,83.34,few clouds,15.2333,-61.3167,CarRod's Cottages
293,Karratha,AU,84.7,clear sky,-20.7377,116.8463,ibis Styles Karratha
294,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
301,Butaritari,KI,81.18,light rain,3.0707,172.7902,Isles Sunset Lodge
302,Bukama,CD,71.49,moderate rain,-9.2,25.85,
304,Sarangani,PH,82.08,broken clouds,5.4033,125.4636,Ballistic Islet
305,Robertsport,LR,83.1,clear sky,6.7533,-11.3686,Kwepunha Retreat
311,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
312,Guanhaes,BR,75.29,overcast clouds,-18.775,-42.9325,CARAVELLE HOTEL Guanhães - MG
313,Pochutla,MX,83.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
314,Fare,PF,80.67,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
318,Lorengau,PG,80.42,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Perth,AU,75.2,light rain,-31.9333,115.8333,Beatty Lodge
320,Vilhena,BR,75.42,broken clouds,-12.7406,-60.1458,Hotel Mirage
322,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
325,Kapit,MY,74.03,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
326,Huambo,AO,71.4,broken clouds,-12.7761,15.7392,SiSHotel
330,Bujaru,BR,82.42,scattered clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
332,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
334,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
335,Puerto Escondido,MX,81.54,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
336,Saint-Pierre,RE,78.48,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
338,Kaoma,ZM,71.56,moderate rain,-14.7833,24.8,KAOMA AIRPORT
340,Ahipara,NZ,72.54,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
343,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
344,Vaitape,PF,80.69,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
345,Dargaville,NZ,71.58,overcast clouds,-35.9333,173.8833,Parkview Motel
359,Suarez,CO,79.47,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
371,Ambilobe,MG,75.18,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
373,Davila,PH,75.18,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
377,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
378,Kiunga,PG,73.78,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
385,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
387,Bandarbeyla,SO,74.35,few clouds,9.4942,50.8122,JABIR HOTEL
391,Dicabisagan,PH,73.27,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
394,Abulug,PH,74.8,few clouds,18.4453,121.4533,Amayun Mini-Farm - Cagayan
398,Buin,CL,75.06,broken clouds,-33.7333,-70.75,Paihuen
399,Namatanai,PG,79.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
404,Payo,ID,71.85,overcast clouds,-3.7508,103.6372,Mess keban agung
410,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
411,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
413,Dingle,PH,76.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
414,Nsanje,MW,82.83,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
415,Mananjary,MG,77.2,broken clouds,-21.2167,48.3333,Vahiny Lodge
419,Nanakuli,US,73.35,broken clouds,21.3906,-158.1547,Camp Pālehua
425,Pontalina,BR,75.2,overcast clouds,-17.525,-49.4472,Hotel Entre Rios
430,Homestead,US,74.01,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
432,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
437,Madimba,TZ,83.52,light rain,-10.4,40.3333,
439,La Orilla,MX,77.72,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
443,Neiafu,TO,81.55,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
445,Waingapu,ID,75.96,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
446,Mwingi,KE,75.58,few clouds,-0.9344,38.0601,Thorn Tree by The Address
450,Grand-Lahou,CI,84.85,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
456,General Roca,AR,73.8,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
457,Taiobeiras,BR,83.64,scattered clouds,-15.8078,-42.2331,Dallas Hotel
459,Hobyo,SO,76.84,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
461,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
467,Sal Rei,CV,82.6,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
470,Nouadhibou,MR,84.18,dust,20.931,-17.0347,El Medina
473,Adeje,ES,77.32,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
475,Sao Sepe,BR,84.15,clear sky,-30.1606,-53.5653,Trevo Parque Hotel
476,Padang,ID,77.76,overcast clouds,-0.9492,100.3543,Mercure Padang
477,Tauramena,CO,84.92,overcast clouds,5.0183,-72.7492,"Hotel Palmarito - Hotel en Tauramena, Casanare"
478,Ormara,PK,71.31,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
484,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
491,Quang Ngai,VN,72.14,scattered clouds,15.1167,108.8,Central Hotel
497,Granadilla De Abona,ES,73.2,clear sky,28.1188,-16.576,Hotel Rural Senderos De Abona
501,Mmabatho,ZA,78.01,broken clouds,-25.85,25.6333,Mahikeng Guest Apartments
502,Samarai,PG,81.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
514,Kloulklubed,PW,81.64,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
517,Antofagasta,CL,72.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
519,Talara,PE,79.56,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
523,Honiara,SB,77.77,overcast clouds,-9.4333,159.95,Heritage Park Hotel
524,Skeldon,GY,84.63,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
527,Menongue,AO,73.18,overcast clouds,-14.6585,17.691,Ritz Lauca
548,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
551,Cockburn Town,TC,77.81,few clouds,21.4612,-71.1419,Osprey Beach Hotel
552,Abaete,BR,72.91,overcast clouds,-19.16,-45.4458,Hotel Millenium
553,Maposeni,TZ,76.15,moderate rain,-10.5833,35.4,
554,Umarga,IN,79.02,broken clouds,17.8333,76.6167,Amir Mulla
556,Pasni,PK,71.28,clear sky,25.2631,63.471,Kashmiri Hotal
557,Kalavad,IN,73.96,clear sky,22.2167,70.3833,Hetu Bapu Kadri
561,Sao Paulo De Olivenca,BR,83.88,overcast clouds,-3.3783,-68.8725,
562,Pandan,PH,77.32,overcast clouds,14.0453,124.1694,Bonifacio Lodge
565,Ilebo,CD,77.11,light rain,-4.3167,20.5833,Hôtel BUMAK
569,Aguimes,ES,74.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
573,Poum,NC,80.82,overcast clouds,-20.2333,164.0167,
578,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
579,Nelson Bay,AU,74.1,light rain,-32.7167,152.15,Mantra Nelson Bay
582,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
583,Tias,ES,71.35,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
584,Lima,PE,77.9,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
586,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
590,Moerai,PF,79.56,overcast clouds,-22.4333,-151.3333,Le Manotel
592,Paciran,ID,75.6,moderate rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
597,Tessalit,ML,82.29,clear sky,20.1986,1.0114,
598,Boyuibe,BO,84.11,clear sky,-20.4167,-63.2833,Residencial Eluzai
604,Barra Do Bugres,BR,82.54,broken clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
607,Mumford,GH,82.63,clear sky,5.2618,-0.759,Spanish Villa
610,Kalianget,ID,76.77,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
612,Calvinia,ZA,80.69,clear sky,-31.4707,19.776,Die Lemoenhuis
619,Sao Felix Do Xingu,BR,81.79,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
620,Flinders,AU,70.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
623,Buraydah,SA,79.25,scattered clouds,26.326,43.975,فندق راحة السلام
624,Puerto Cabezas,NI,80.56,scattered clouds,14.0351,-83.3888,Cabaña Caribe
627,Noumea,NC,81.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
631,Rock Sound,BS,75.02,few clouds,24.9,-76.2,Pink Corral Bay Property
638,Mudbidri,IN,78.42,clear sky,13.0833,74.9833,Hotel Navami Comforts
644,Mega,ET,75.11,broken clouds,4.05,38.3,Amanuel Guest House
645,Kupang,ID,75.9,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
651,Aitape,PG,78.3,overcast clouds,-3.1374,142.3475,
659,Rio Grande,BR,80.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
665,Ankazoabo,MG,81.9,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
674,Matara,LK,75.79,light rain,5.9485,80.5353,Amaloh Boutique Resort
678,Thung Song,TH,74.39,overcast clouds,8.1645,99.6804,Jasmine Resort And Spa
679,Moree,AU,71.62,clear sky,-29.4667,149.85,Molika Springs Motel
680,Proddatur,IN,74.23,clear sky,14.7333,78.55,Sri Swasthik Residency
686,Berbera,SO,76.6,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
687,Chavakkad,IN,81.77,clear sky,10.5333,76.05,Rajah Island
689,Benguela,AO,79.43,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
691,Ponerihouen,NC,80.13,light rain,-21.0833,165.4,Camping de Tiakan
694,Bambanglipuro,ID,78.67,overcast clouds,-7.95,110.2833,Puri Brata
696,Axim,GH,83.98,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
698,Biltine,TD,83.28,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
700,Acajutla,SV,83.8,clear sky,13.5928,-89.8275,Laureles
